source_id,country,indicator,source_name,source_url,publication_date,access_date,source_type,reliability_rating,notes
SRC-001,Global,population_m,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2024-07-01,2026-09-11,multilateral_bureau,5,Official mid-year resident population estimates
SRC-002,Global,urban_population_pct,World Bank Urban Population Indicator,https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS,2024-07-01,2026-09-11,multilateral_bureau,5,Percentage of total population living in urban areas
SRC-003,OECD,disposable_income_usd,OECD Better Life Index / Household Accounts,https://data.oecd.org/hha/household-disposable-income.htm,2024-11-15,2026-09-11,multilateral_bureau,5,Gross household adjusted disposable income per capita in USD
SRC-004,Europe,fitness_participation_pct,EuropeActive & Deloitte European Health & Fitness Market Report,https://www.europeactive.eu,2024-04-10,2026-09-11,industry_analyst,4,Adult population penetration in health and fitness activities
SRC-005,Global,ecommerce_penetration_pct,UNCTAD Digital Economy Report & National E-Commerce Statistics,https://unctad.org/topic/ecommerce-and-digital-economy,2024-03-20,2026-09-11,multilateral_bureau,4,E-commerce retail market share of total retail trade
SRC-006,Global,market_growth_cagr_pct,Statista Fitness Equipment Worldwide Market Insights,https://www.statista.com/outlook/cmo/consumer-goods/sports-outdoor/fitness-equipment/worldwide,2025-01-15,2026-09-11,industry_analyst,4,Projected 2026-2029 compound annual growth rate for home exercise equipment
SRC-007,US / CA,disposable_income_usd,US Bureau of Economic Analysis (BEA) / Statistics Canada,https://www.bea.gov,2025-02-28,2026-09-11,government_statistical_agency,5,Per capita personal disposable income audited accounts
SRC-008,UK,ecommerce_penetration_pct,UK Office for National Statistics (ONS) Retail Sales Index,https://www.ons.gov.uk/businessindustryandtrade/retailindustry,2025-01-20,2026-09-11,government_statistical_agency,5,Internet sales as a percentage of all retail sales in Great Britain
SRC-009,DE,fitness_participation_pct,DSSV (German Fitness Industry Association) Annual Report,https://www.dssv.de,2024-06-12,2026-09-11,industry_association,4,Official German fitness club members and active home exercisers
SRC-010,AU,fitness_participation_pct,AusPlay National Sport and Physical Activity Participation,https://www.clearinghouseforsport.gov.au/research/ausplay,2024-10-30,2026-09-11,government_statistical_agency,5,Australian Sports Commission adult physical exercise tracking
SRC-011,SG,urban_population_pct,Singapore Department of Statistics (SingStat),https://www.singstat.gov.sg,2024-09-15,2026-09-11,government_statistical_agency,5,100% urban city-state demographics
SRC-012,UAE / KSA,disposable_income_usd,IMF World Economic Outlook Database,https://www.imf.org/en/Publications/WEO,2024-10-22,2026-09-11,multilateral_bureau,4,Per capita GDP and net income converted at official peg rates
SRC-013,IN,import_logistics_cost_usd,Indian Central Board of Indirect Taxes and Customs (CBIC),https://www.cbic.gov.in,2025-02-01,2026-09-11,government_agency,4,Basic Customs Duty (BCD) of 20% + Integrated GST of 18-28% on imported gym equipment
SRC-014,Global,digital_ad_cost_index,Wordstream / Search Engine Land Global Ads Benchmark,https://www.wordstream.com/blog/ws/2023/05/15/google-ads-benchmarks,2024-05-15,2026-09-11,marketing_benchmark,3,Relative Google/Meta Ads CPM and CPC indexed against US dollar baseline
SRC-015,Global,home_fitness_demand_index,Google Trends Category Relative Search Index,https://trends.google.com,2025-08-01,2026-09-11,digital_proxy,4,Normalized relative query volume for smart indoor bikes rowers and home gyms
SRC-016,Global,competitor_intensity_score,NovaHome Internal Competitive Intelligence Synthesis,N/A - synthetic model,2026-09-11,2026-09-11,synthetic_assumption,3,Calibrated composite scoring based on observed local competitor landscape
SRC-017,Global,regulatory_complexity_score,NovaHome Trade Compliance Analysis,N/A - synthetic model,2026-09-11,2026-09-11,synthetic_assumption,3,Calibrated 1-5 index based on mandatory local product testing and data laws
